rank,unit,function,meaningful_bytes,padded_target,padded_base,relocation_count_delta,frame_delta,park_class,strict_status,evidence
1,source/ai/ai_debug,_ai_debug_render_actor,24576,24976,25008,0,0,not-parked,R,research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_ai_ai_debug.md; research/fifty_objects_r2_20260924/results/r2w4/source_ai_ai_debug.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_ai_ai_debug.md; docs/object_matching_logs/claude_structural_HANDOFF_20260923.md; docs/object_matching_logs/ai_debug_jmptable_owner_20260923.md; docs/object_matching_logs/claude_lane_a_waveC_20260920.md; docs/object_matching_logs/claude_lane_a_waveB_frame_and_nearexact_20260920.md; docs/object_matching_logs/claude_lane_a_structural_vs_tie_census_20260920.md
2,source/ai/ai_communication,_ai_communication_event,8064,8064,8128,0,0,not-parked,R,docs/object_matching_logs/claude_halo_r3_20260924.md; docs/object_matching_logs/claude_structural_HANDOFF_20260923.md; docs/object_matching_logs/claude_lane_a_waveC_20260920.md; docs/object_matching_logs/claude_lane_a_waveA5_allegiance_20260920.md; docs/object_matching_logs/claude_lane_a_waveA3_communication_20260920.md; docs/object_matching_logs/claude_lane_a_residual_triage_20260920.md; docs/object_matching_logs/claude_lane_a_deferred_header_prerequisite_allegiance_20260920.md; docs/object_matching_logs/claude_lane_a_data_section_credit_20260920.md
3,source/effects/decals,_decal_new_from_collision,6162,6176,6176,0,-4,not-parked,R,research/fifty_objects_20260925/results/wave1/provider_repair_source_effects_decals.md; research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_effects_decals.md; research/fifty_objects_r2_20260924/results/r2w4/source_effects_decals.md; docs/object_matching_logs/claude_decals_physics_20260924.md; docs/object_matching_logs/astra_90pct_wave4_decals_independent_review_20260920.md; docs/object_matching_logs/astra_90pct_wave4_decals_20260920.md; docs/object_matching_logs/astra_90pct_research_atlas_20260920.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md
4,source/units/bipeds,_biped_update_physics,5366,5376,5376,0,8,not-parked,R,docs/object_matching_logs/claude_lane_a_HANDOFF_TO_LANE_B_20260921.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/astra_90pct_wave3_header_evidence_20260920.md; docs/object_matching_logs/astra_90pct_wave3_bipeds_packet_20260920.md; docs/object_matching_logs/astra_90pct_wave3_bipeds_independent_review_20260920.md; docs/object_matching_logs/astra_90pct_wave3_accounting_independent_review_20260920.md; docs/object_matching_logs/astra_90pct_research_atlas_20260920.md
5,source/rasterizer/xbox/rasterizer_xbox_models,__rasterizer_model_draw,5165,5168,5168,-2,0,tu-context-optimization,R,research/fifty_objects_20260925/w/review4_rasterizer_xbox_models__ownership_/REVIEW.md; research/fifty_objects_20260925/w/review2_rasterizer_xbox_shadows/REVIEW.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_rasterizer_xbox_rasterizer_xbox_models_ownership_config_symbols_json_storage_for_th.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_rasterizer_xbox_rasterizer_xbox_models.md; research/fifty_objects_20260925/results/wave4/xbox_models_source_rasterizer_xbox_rasterizer_xbox_models__rasterizer_model_draw_environment_shader.md; research/fifty_objects_20260925/results/wave4/xbox_models_source_rasterizer_xbox_rasterizer_xbox_models___rasterizer_model_draw.md; research/fifty_objects_20260925/results/wave2/fn2_rasterizer_xbox_shadows_source_rasterizer_xbox_rasterizer_xbox_shadows.md; docs/object_matching_logs/claude_fifty_objects_20260925_owner_queue.md
6,source/physics/physics,_physics_update_old,5163,5168,5456,3,48,not-parked,R,research/fifty_objects_20260925/w/review2_render_objects/REVIEW.md; research/fifty_objects_20260925/results/wave2/REVIEW__source_render_render_objects.md; research/fifty_objects_20260925/results/wave2/bounding_sphere_source_render_render_objects.md; research/fifty_objects_20260925/results/wave2/bounding_sphere_source_objects_object_lights.md; research/fifty_objects_20260925/results/wave2/bounding_sphere_source_ai_action_vehicle.md; research/fifty_objects_20260925/results/wave2/bounding_sphere_ai_actor_moving_ai_ai_debug_interface_hud_nav_points_interface_motion_sens.md; docs/object_matching_logs/claude_decals_physics_20260924.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md
7,source/physics/collisions,_collision_move_point,4744,4752,4752,0,0,not-parked,R,research/fifty_objects_20260925/w/review_players (header-packet function gains)/REVIEW.md; research/fifty_objects_20260925/w/review_collisions/REVIEW.md; research/fifty_objects_20260925/w/review2_render_objects/REVIEW.md; research/fifty_objects_20260925/results/wave2/REVIEW__source_render_render_objects.md; research/fifty_objects_20260925/results/wave2/REVIEW__review_layer2_commit_931ed8dc_Layer_2_shared_header_packet_.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_physics_collisions.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_math_geometry_source_game_players_Layer_2_ABRPL_header_packet_function_ga.md; research/fifty_objects_20260925/results/wave2/bounding_sphere_source_render_render_objects.md
8,source/ai/actor_looking,_actor_look_update,4714,4720,4704,0,0,not-parked,R,research/fifty_objects_20260925/w/review_actor_looking/REVIEW.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_ai_actor_looking_actor_look_idle_find_prop_FUNCTIONS_EXACT_OBJECT_BLOCKED.md; research/fifty_objects_20260925/results/wave1/fn_collisions_source_physics_collisions.md; research/fifty_objects_20260925/results/wave1/fn_actor_looking_ai_actor_looking_actor_look_update.md; research/fifty_objects_20260925/results/wave1/fn_actor_looking_ai_actor_looking_actor_look_idle_find_prop.md; docs/object_matching_logs/claude_fifty_objects_20260925_owner_queue.md; docs/object_matching_logs/claude_fifty_objects_20260925.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md
9,source/structures/structure_lens_flares,_build_structure_lens_flares,4331,4336,4336,0,0,instruction-scheduling,R,docs/object_matching_logs/astra_90pct_research5_structure_lens_20260920.md; docs/object_matching_logs/structure_lens_flares_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/structure_lens_flares_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/structure_lens_flares_obj_jonas_authenticated_fuzzy_closeout_20260901.md; docs/object_matching_logs/wind_obj_jonas_partial.md; docs/object_matching_logs/structure_lens_flares_obj_jonas_policy_reconciled_20260829.md; docs/object_matching_logs/structure_lens_flares_obj_jonas_grid_topology_recovery_20260826.md; docs/object_matching_logs/structure_lens_flares_obj_jonas_fable_uniform_boundary_20260830.md
10,source/ai/actor_moving,_actor_move_vector_avoidance,4130,4144,4128,0,4,not-parked,R,docs/object_matching_logs/claude_lane_a_waveC_20260920.md; docs/object_matching_logs/claude_lane_a_waveA4_actor_moving_20260920.md; docs/object_matching_logs/claude_lane_a_residual_triage_20260920.md; docs/object_matching_logs/claude_lane_a_hoist_lever_worked_examples_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_HANDOFF_20260920.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/astra_90pct_research_atlas_20260920.md
11,source/units/bipeds,_biped_update_moving,4071,4080,4000,0,16,not-parked,R,research/fifty_objects_20260925/results/wave3/players_source_game_players__player_examine_nearby_device_176_.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_units_bipeds.md; docs/object_matching_logs/claude_lane_a_HANDOFF_TO_LANE_B_20260921.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/claude_lane_a_waveA2_fuzzy_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_a_adjudication_paren_accessor_20260920.md
12,source/rasterizer/xbox/rasterizer_xbox_environment,__rasterizer_environment_lightmap_draw,4008,4016,3984,-2,0,not-parked,R,research/fifty_objects_r2_20260924/results/r2w1/source_rasterizer_xbox_rasterizer_xbox_environment.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_rasterizer_xbox_rasterizer_xbox_environment.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/claude_lanes_AB_HANDOFF_TO_LANE_C_20260921.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/astra_90pct_wave17_environment_branches_20260920.md; docs/object_matching_logs/astra_90pct_research_atlas_20260920.md; docs/object_matching_logs/astra_90pct_research7_environment_topology_followup_20260920.md
13,source/rasterizer/xbox/rasterizer_xbox_environment_fog,__rasterizer_environment_fog_screen_begin,3901,3904,4000,-3,68,not-parked,R,research/fifty_objects_20260925/results/wave1/fn_rasterizer_xbox_environment_fog_rasterizer_environment_fog_screen_begin_rasterizer_xbox.md; research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_rasterizer_xbox_rasterizer_xbox_environment_fog.md; research/fifty_objects_r2_20260924/results/r2w4/source_rasterizer_xbox_rasterizer_xbox_environment_fog.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_rasterizer_xbox_rasterizer_xbox_environment_fog.md; docs/object_matching_logs/claude_lanes_AB_HANDOFF_TO_LANE_C_20260921.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/astra_90pct_research_atlas_20260920.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md
14,source/render/render_cameras,_render_camera_build_frustum,3370,3376,3408,-1,24,unclassified,R,research/fifty_objects_20260925/results/wave2/fn2_render_cameras_source_render_render_cameras.md; research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_render_render_cameras.md; research/fifty_objects_r2_20260924/results/r2w4/source_render_render_cameras.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_render_render_cameras.md; docs/object_matching_logs/claude_halo_r3_20260924.md; docs/object_matching_logs/claude_lanes_AB_HANDOFF_TO_LANE_C_20260921.md; docs/object_matching_logs/render_cameras_obj_large_closeout_evidence_pass_20260919.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md
15,source/ai/action_charge,_action_charge_perform,3246,3248,3264,0,0,not-parked,R,research/fifty_objects_20260925/w/review_weapons/REVIEW.md; research/fifty_objects_20260925/w/review_action_charge/REVIEW.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_items_weapons.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_ai_action_charge.md; research/fifty_objects_20260925/results/wave1/fn_action_charge_source_ai_action_charge.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_ai_action_charge.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md
16,source/ai/actor_moving,_actor_move_update,3128,3136,3136,0,0,not-parked,R,docs/object_matching_logs/claude_lane_a_waveC_20260920.md; docs/object_matching_logs/claude_lane_a_waveA4_actor_moving_20260920.md; docs/object_matching_logs/claude_lane_a_residual_triage_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_a_ai_core_HANDOFF_20260920.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/astra_90pct_research11_independent_review_20260920.md; docs/object_matching_logs/astra_90pct_research11_actor_move_update_20260920.md
17,source/rasterizer/xbox/rasterizer_xbox_models,_rasterizer_model_draw_environment_shader,3103,3104,3104,0,0,instruction-scheduling,R,research/fifty_objects_20260925/results/wave4/REVIEW__source_rasterizer_xbox_rasterizer_xbox_models.md; research/fifty_objects_20260925/results/wave4/xbox_models_source_rasterizer_xbox_rasterizer_xbox_models__rasterizer_model_draw_environment_shader.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_rasterizer_xbox_rasterizer_xbox_models.md; docs/object_matching_logs/astra_90pct_research16_model_context_20260920.md; docs/object_matching_logs/opus5_250k_house_clean_checkpoint_20260915.md; docs/object_matching_logs/observer_obj_opus5_250k_w3d_20260915.md; docs/object_matching_logs/rasterizer_xbox_models_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/rasterizer_xbox_models_obj_opus5_150k_w1_20260914.md
18,source/physics/physics,_physics_compute_new,2930,2944,3120,2,20,unclassified,R,docs/object_matching_logs/claude_decals_physics_20260924.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/physics_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/physics_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/physics_obj_opus5_100k_20260914.md; docs/object_matching_logs/claude_fable_opus_reconciliation_checkpoint_20260908.md
19,source/interface/hud_weapon,_render_weapon_hud,2645,2656,2624,1,0,not-parked,R,research/fifty_objects_20260925/w/review4_hud_weapon/REVIEW.md; research/fifty_objects_20260925/w/review4_hud_unit/REVIEW.md; research/fifty_objects_20260925/w/review4_hud_draw/REVIEW.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_hud_weapon.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_hud_unit.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_hud_draw.md; research/fifty_objects_20260925/results/wave4/hud_weapon_source_interface_hud_weapon_object_.md; research/fifty_objects_20260925/results/wave4/hud_weapon_source_interface_hud_weapon__render_weapon_hud.md
20,source/objects/widgets/lightning,_lightning_submit,2571,2576,2576,0,0,unclassified,R,research/fifty_objects_20260925/results/wave2/fn2_lightning_source_objects_widgets_lightning.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_objects_widgets_lightning.md; docs/object_matching_logs/lightning_smallest_five_followup_20260924.md; docs/object_matching_logs/astra_90pct_research16_light_context_20260920.md; docs/object_matching_logs/rasterizer_xbox_lights_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/rasterizer_xbox_lights_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/lightning_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/lightning_obj_opus5_150k_w2_20260914.md
21,source/units/vehicles,_update_alien_scout_physics,2456,2464,2464,0,12,not-parked,R,research/fifty_objects_20260925/w/review_vehicles/REVIEW.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_units_vehicles.md; research/fifty_objects_20260925/results/wave1/fn_vehicles_source_units_vehicles.md; research/fifty_objects_r2_20260924/results/r2w2/source_units_vehicles.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_units_vehicles.md; docs/object_matching_logs/claude_halo_r3_20260924.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md
22,source/rasterizer/xbox/rasterizer_xbox_lights,_rasterizer_sun_glow_draw,2338,2352,2352,0,0,unclassified,R,research/fifty_objects_20260925/w/review_files_windows/REVIEW.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_tag_files_files_windows.md; research/fifty_objects_20260925/results/wave2/fn2_rasterizer_xbox_lights_source_rasterizer_xbox_rasterizer_xbox_lights.md; docs/object_matching_logs/claude_lanes_AB_HANDOFF_TO_LANE_C_20260921.md; docs/object_matching_logs/claude_lane_c_graphics_ui_HANDOFF_20260920.md; docs/object_matching_logs/claude_lane_a_frame_mismatch_census_20260920.md; docs/object_matching_logs/game_sound_obj_opus5_next150_n4_20260915.md; docs/object_matching_logs/rasterizer_xbox_lights_obj_opus5_150k_w3_20260914.md
23,source/interface/hud_weapon,_crosshairs_draw,2247,2256,2256,1,-4,not-parked,R,research/fifty_objects_20260925/w/review4_hud_weapon/REVIEW.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_hud_weapon.md; research/fifty_objects_20260925/results/wave4/hud_weapon_source_interface_hud_weapon_object_.md; research/fifty_objects_20260925/results/wave4/hud_weapon_source_interface_hud_weapon__hud_update_weapon_local_player.md; research/fifty_objects_20260925/results/wave4/hud_weapon_source_interface_hud_weapon__crosshairs_draw.md; research/fifty_objects_20260925/results/wave4/hud_stack_check_source_interface_hud_weapon.md; docs/object_matching_logs/claude_fifty_objects_20260925.md; docs/object_matching_logs/claude_lanes_AB_HANDOFF_TO_LANE_C_20260921.md
24,source/rasterizer/rasterizer_lights,_rasterizer_lens_flares_draw,2226,2240,2240,0,0,unclassified,R,research/fifty_objects_20260925/results/wave4/REVIEW__source_rasterizer_rasterizer_lights_P1_storage_bss_layout_packet_admission_prerequisite_.md; research/fifty_objects_20260925/results/wave4/rasterizer_lights_source_rasterizer_rasterizer_lights__rasterizer_lens_flares_draw_2240_parked_.md; research/fifty_objects_r2_20260924/results/r2w4/source_rasterizer_rasterizer_lights.md; docs/object_matching_logs/claude_halo_r3_20260924.md; docs/object_matching_logs/claude_lanes_AB_HANDOFF_TO_LANE_C_20260921.md; docs/object_matching_logs/astra_90pct_research16_light_context_20260920.md; docs/object_matching_logs/rasterizer_lights_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/observer_obj_opus5_250k_w3d_20260915.md
25,source/bitmaps/s3tc/s3tc,_EncodeBlockRGBColorKey,2188,2192,2640,0,-12,unclassified,R,docs/object_matching_logs/claude_lanes_AB_HANDOFF_TO_LANE_C_20260921.md; docs/object_matching_logs/claude_lane_c_graphics_ui_HANDOFF_20260920.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/s3tc_obj_opus5_next150_n4_20260915.md; docs/object_matching_logs/s3tc_obj_opus5_next150_n3a_20260915.md; docs/object_matching_logs/s3tc_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/s3tc_obj_opus5_150k_w1_20260914.md
26,source/interface/ui_widget,_widget_instance_process_one_event_recursive,2004,2016,1984,-1,0,not-parked,R,research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_interface_ui_widget__widget_instance_process_one_event_recursive.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/ui_widget_obj_evidence_closeout_20260919.md; docs/object_matching_logs/ui_widget_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_100k_20260914.md; docs/object_matching_logs/ui_widget_obj_opus5_house_clean_20260913.md
27,source/effects/effects,_effect_generate_particles,1887,1888,1888,0,0,unclassified,R,research/fifty_objects_20260925/results/wave2/breakable_surfaces_source_physics_breakable_surfaces.md; docs/object_matching_logs/opus5_throughput_recovery_checkpoint_50k_20260916.md; docs/object_matching_logs/opus5_next150_compiler_laws_round2_20260916.md; docs/object_matching_logs/effects_obj_opus5_250k_w3d_20260915.md; docs/object_matching_logs/opus5_100k_consolidated_HANDOFF_20260914.md; docs/object_matching_logs/effects_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/effects_obj_opus5_100k_waveD_20260914.md; docs/object_matching_logs/effects_obj_opus_reconciliation_20260904.md
28,source/math/geometry,_convex_hull3d_expand,1804,1808,1808,0,0,unclassified,R,research/fifty_objects_20260925/w/review4_geometry__provider_repair_that_unblocks_collision_bsp_s_link_/REVIEW.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/geometry_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/geometry_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/geometry_obj_opus5_100k_waveD_20260914.md; docs/object_matching_logs/geometry_obj_convex_hull3d_begin_expand_reconciliation_20260908.md; docs/object_matching_logs/geometry_obj_fable_clean_pair_reconciliation_20260906.md
29,source/effects/decals,_decal_clip_to_surface,1768,1776,1776,0,4,not-parked,R,research/fifty_objects_20260925/results/wave1/provider_repair_source_effects_decals.md; research/fifty_objects_r2_20260924/results/r2w4/REVIEW__source_effects_decals.md; research/fifty_objects_r2_20260924/results/r2w4/source_effects_decals.md; docs/object_matching_logs/claude_halo_r3_20260924.md; docs/object_matching_logs/claude_decals_physics_20260924.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/astra_90pct_wave4_decals_independent_review_20260920.md; docs/object_matching_logs/astra_90pct_wave4_decals_20260920.md
30,source/objects/widgets/glow,_get_particle_world_position,1729,1744,2528,12,48,unclassified,R,research/fifty_objects_20260925/w/review2_glow/REVIEW.md; research/fifty_objects_20260925/results/wave2/REVIEW__source_objects_widgets_glow.md; research/fifty_objects_20260925/results/wave2/fn2_glow_source_objects_widgets_glow.md; docs/object_matching_logs/claude_fifty_objects_20260925_owner_queue.md; docs/object_matching_logs/claude_fifty_objects_20260925.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/opus5_next150_compiler_laws_round2_20260916.md; docs/object_matching_logs/opus5_next150_HANDOFF_20260915.md
31,source/units/bipeds,_biped_update_turning,1712,1712,1760,0,8,unclassified,R,docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/bipeds_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/bipeds_obj_opus5_150k_w2_20260914.md; docs/object_matching_logs/bipeds_obj_opus5_100k_waveD_20260914.md; docs/object_matching_logs/bipeds_obj_batch7_exact_and_fuzzy_20260912.md
32,source/effects/weather_particle_systems,_weather_particle_system_render,1665,1680,1680,0,-16,not-parked,R,research/fifty_objects_20260925/w/review_weather_particle_systems/REVIEW.md; research/fifty_objects_20260925/results/wave1/REVIEW__source_effects_weather_particle_systems.md; research/fifty_objects_20260925/results/wave1/fn_weather_particle_systems_source_effects_weather_particle_systems.md; research/fifty_objects_r2_20260924/w/review_r2w2_weather_particle_systems/REVIEW.md; research/fifty_objects_r2_20260924/results/r2w2/REVIEW__source_effects_weather_particle_systems.md; research/fifty_objects_r2_20260924/results/r2w2/source_effects_weather_particle_systems.md; research/fifty_objects_r2_20260924/results/r2w2/PRECEDENT_AUDIT.md; docs/object_matching_logs/weather_particle_systems_obj_helper_recovery_20260923.md
33,source/interface/hud_nav_points,_custom_render_nav_point,1618,1632,1632,0,0,instruction-scheduling,R,research/fifty_objects_20260925/w/review4_hud_nav_points/REVIEW.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_hud_unit.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_hud_nav_points.md; research/fifty_objects_20260925/results/wave2/REVIEW__review_admit2_adversarial_whole_object_admission_review_of_path_render_debug_bip.md; research/fifty_objects_20260925/results/wave4/hud_stack_check_source_interface_hud_nav_points.md; research/fifty_objects_20260925/results/wave3/game_engine_source_game_game_engine.md; research/fifty_objects_20260925/results/wave2/fn2_hud_nav_points_source_interface_hud_nav_points_object_ownership_storage_.md; research/fifty_objects_20260925/results/wave2/fn2_hud_nav_points_source_interface_hud_nav_points_custom_render_nav_point.md
34,source/interface/virtual_keyboard,_virtual_keyboard_render_internal,1609,1616,1584,0,0,not-parked,R,research/fifty_objects_20260925/results/wave1/fn_virtual_keyboard_interface_virtual_keyboard_virtual_keyboard_render_internal.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_interface_virtual_keyboard.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/virtual_keyboard_obj_opus5_fresh_graphs_20260914.md; docs/object_matching_logs/virtual_keyboard_obj_opus5_150k_w3_20260914.md; docs/object_matching_logs/virtual_keyboard_obj_opus5_150k_w1_20260914.md; docs/object_matching_logs/opus5_fresh_graphs_HANDOFF_20260914.md; docs/object_matching_logs/virtual_keyboard_obj_fable_salvage_admission_20260902.md
35,source/camera/observer,_observer_update_positions,1561,1568,1648,-8,12,unclassified,R,research/fifty_objects_20260925/results/wave2/fn2_observer_source_camera_observer.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_camera_observer.md; docs/object_matching_logs/claude_lane_a_frame_mismatch_census_20260920.md; docs/object_matching_logs/claude_lane_a_data_census_20260920.md; docs/object_matching_logs/astra_90pct_wave13_call_sequence_census_20260920.md; docs/object_matching_logs/opus5_throughput_recovery_checkpoint_50k_20260916.md; docs/object_matching_logs/opus5_next150_research_campaign_20260916.md; docs/object_matching_logs/observer_obj_opus5_250k_w3d_20260915.md
36,source/render/render_sprite,_build_sprite,1546,1552,1536,0,-4,not-parked,R,research/fifty_objects_20260925/w/review_weather_particle_systems/REVIEW.md; research/fifty_objects_20260925/results/wave1/fn_weather_particle_systems_source_effects_weather_particle_systems.md; docs/object_matching_logs/cinematics_obj_four_instruction_reprobe_20260924.md; docs/object_matching_logs/claude_lanes_AB_HANDOFF_TO_LANE_C_20260921.md; docs/object_matching_logs/claude_lane_c_graphics_ui_HANDOFF_20260920.md; docs/object_matching_logs/opus5_throughput_recovery_checkpoint_10k_20260916.md; docs/object_matching_logs/particle_systems_obj_opus5_250k_w3c_20260915.md; docs/object_matching_logs/render_sprite_obj_opus5_fresh_graphs_20260914.md
37,source/physics/collision_bsp,_bsp3d_test_pill_recursive,1491,1504,1504,0,0,unclassified,R,research/fifty_objects_20260925/results/wave4/REVIEW__source_physics_collision_bsp_whole_object_admission_review_of_ADMISSION_FIX_PROPOSED_stora.md; research/fifty_objects_20260925/results/wave4/collision_bsp_source_physics_collision_bsp_whole_object_admission_.md; research/fifty_objects_20260925/results/wave4/collision_bsp_source_physics_collision_bsp__bsp3d_test_pill_recursive.md; research/fifty_objects_r2_20260924/results/r2w1/TRIAGE__source_physics_collision_bsp.md; docs/object_matching_logs/claude_lane_b_rejected_hypotheses_20260920.md; docs/object_matching_logs/claude_lane_b_HANDOFF_20260920.md; docs/object_matching_logs/astra_90pct_research5_shared_context_20260920.md; docs/object_matching_logs/astra_90pct_research14_abi_scout_20260920.md
38,source/interface/hud_weapon,_hud_update_weapon_local_player,1472,1472,1456,0,0,not-parked,R,research/fifty_objects_20260925/w/review4_hud_weapon/REVIEW.md; research/fifty_objects_20260925/results/wave4/REVIEW__source_interface_hud_weapon.md; research/fifty_objects_20260925/results/wave4/hud_weapon_source_interface_hud_weapon_object_.md; research/fifty_objects_20260925/results/wave4/hud_weapon_source_interface_hud_weapon__hud_update_weapon_local_player.md; research/fifty_objects_20260925/results/wave4/hud_stack_check_source_interface_hud_weapon.md; docs/object_matching_logs/claude_fifty_objects_20260925.md; docs/object_matching_logs/claude_structural_owner_packet_20260923.md; docs/object_matching_logs/claude_lanes_AB_HANDOFF_TO_LANE_C_20260921.md
